title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"安徽水利水电职业技术学院学报","1671-6221","34-1240/Z","安徽水利水电职业技术学院","0.276","0.199","","综合科技b类综合|职业教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMH45AmVO_-rtKv234FGB7Xxa0c_c7-bqRzKw7ELa9jKL1Ego1g2fg1Uom4otfOWIwlWzLnbeNo56UclAFGbzAk5kbd4zA3TJKQq7LgDK0MlA==&uniplatform=NZKPT&language=CHS"
"安徽税务","1005-6181","34-1131/F","安徽省国家税务局","","","","财政与税收","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPvJ8GgtZfX_kEJCv1e6_2noWKRFLX42lG-itQdHRAPr5fTLE2-YPX_wrq5bGQ7a9nXlIm2srralJEhKvFPLWAj3RcsuqAfjaJJ__NByEu58Q==&uniplatform=NZKPT&language=CHS"
"安徽体育科技","1008-7761","34-1153/N","安徽体育运动职业技术学院;安徽省体育科学学会","0.527","0.149","","体育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINHV6sClzh9zXGkZQw9la0GvMMlBtvqpZuNVGJv_mHuNNVSESwCRq1Z-FJB5DG9ItwpHAv4Cf3ItoeCfdLn6CCpXw1jffpqWyguNx9qsMmCeQ==&uniplatform=NZKPT&language=CHS"
"安徽文博","","","安徽博物院;安徽省博物馆协会","","","","档案及博物馆","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINUmA00WyH7oEgcaTX056j9doz5XrG-92CeuRBOgJ9if2bdv5iCcJQR0zXnKT_POy6LfoTDDzQxpQqlj5UiwBs0KoZyCiy_16UQeGlqwk52kA==&uniplatform=NZKPT&language=CHS"
"安徽文学(下半月)","1671-0703","34-1169/I","安徽省文联","","","","中国文学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINafHXIdceeO13pj2OLaHLmR-dQS5YNncYigar3XWgaGaMtew7Wwb25m2MhhnIRDvn2s4lVNdWMUJ0TUMssVTnOJ2HJVXn169g08PMvDLYmuw==&uniplatform=NZKPT&language=CHS"
"安徽文学论文集","","","安徽省社会科学界联合会","","","","中国文学","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINafHXIdceeO13pj2OLaHLmR-dQS5YNncYigar3XWgaGaMtew7Wwb25m2MhhnIRDvkDmKyU1VYOlNeq3vt1L1tqVevYgakTQZgW_K9FPf-gRw==&uniplatform=NZKPT&language=CHS"
"安徽乡村振兴研究","2097-1931","34-1341/S","中共安徽省委党校(安徽行政学院)","0.969","0.297","网络首发|增强出版","政党及群众组织|农业经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMI6KLPYkCfFI1UPtgJkg4GF32msU4L69exxO3I9fDmVaZ8DiTZLyPLqgaFIUe6o-SjDFyqEPiKKN56mF5X45g6vdnN_sscSVAm2LwHU5znwg==&uniplatform=NZKPT&language=CHS"
"安徽消防","1003-756X","34-1101/TU","安徽省消防总队;安徽省消防协会","","","","安全科学与灾害防治|公安","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINrx8ETGzCoThVNBlBjZIZoFWvNKibsTwFhILq0mmBK7XQ_rySN91rg1cowb6X8jzkG3_Pp6agcv0_oVgQ-qZURYHxEgjweLTte9sWh06Psaw==&uniplatform=NZKPT&language=CHS"
"安徽冶金科技职业学院学报","1672-9994","34-1281/Z","安徽冶金科技职业学院","0.116","0.073","","综合科技a类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMSfd82f9YcDY5S-1jGYm_Vxw6R19aOFfpBHkyYzVRAr5P1Be_9Mq2ydqwI6Nt4zMwZJZy8aBVHaw5V4OSUtp5qqGFMRk7uuc7hwGl5k8cOvA==&uniplatform=NZKPT&language=CHS"
"安徽医科大学学报","1000-1492","34-1065/R","安徽医科大学","1.200","0.950","网络首发|增强出版","医药卫生综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPjcQ1xC6s0t8Otms8pdWKBBTGgKdrS0CiIoRrY4NeCuWtSm4c_v9V5YrH1DZO7OqmwGkqinNM2hnB3V98wTJjxeCDM6f-gsdnsfhZwapi21g==&uniplatform=NZKPT&language=CHS"
